ods,providerId,name,wIMD15,place_name,postcode,country,search_name
RGT01,RGT,Addenbrooke's and the Rosie Hospitals,17.96802159,Addenbrooke's,CB2 0QQ,England,"Addenbrooke's, CB2 0QQ"
RCF22,RCF,Airedale General Hospital,24.03109699,Airedale General Hospital,BD20 6TD,England,"Airedale General Hospital, BD20 6TD"
RBS25,RBS,Alder Hey Children's Hospital,36.82340586,Alder Hey Children's Hospital,L12 2AP,NA,NA
RBL14,RBL,Arrowe Park Hospital,26.17837122,Arrowe Park Hospital,CH49 5PE,England,"Arrowe Park Hospital, CH49 5PE"
RFFAA,RFF,Barnsley Hospital,25.9944111,Barnsley Hospital,S75 2EP,England,"Barnsley Hospital, S75 2EP"
RDDH0,RDD,Basildon University Hospital,19.9555508,Basildon University Hospital,SS16 5NL,England,"Basildon University Hospital, SS16 5NL"
RN506,RN5,Basingstoke and North Hampshire Hospital,15.10991099,Basingstoke And North Hampshire Hospital,RG24 9NA,England,"Basingstoke And North Hampshire Hospital, RG24 9NA"
RP5BA,RP5,Bassetlaw District General Hospital,25.2215654,Bassetlaw Hospital,S81 0BD,England,"Bassetlaw Hospital, S81 0BD"
RC112,RC1,Bedford Hospital North Wing,17.34081635,Bedford Hospital North Wing,MK42 9DJ,NA,NA
RQ301,RQ3,Birmingham Children's Hospital,24.48887247,Birmingham Children's Hospital,B4 6NH,England,"Birmingham Children's Hospital, B4 6NH"
RXL01,RXL,Blackpool Victoria Hospital,26.10509592,Blackpool Victoria Hospital,FY3 8NR,England,"Blackpool Victoria Hospital, FY3 8NR"
RAE01,RAE,Bradford Royal Infirmary,26.09110115,Bradford Royal Infirmary,BD9 6RJ,England,"Bradford Royal Infirmary, BD9 6RJ"
RA723,RA7,Bristol Royal Hospital for Children,18.43949181,Bristol Royal Hospital For Children,BS2 8BJ,England,"Bristol Royal Hospital For Children, BS2 8BJ"
RA701,RA7,Bristol Royal Infirmary,18.43949181,Bristol Royal Infirmary,BS2 8HW,England,"Bristol Royal Infirmary, BS2 8HW"
RQ8L0,RQ8,Broomfield Hospital,19.98992083,Broomfield Hospital,CM1 7ET,England,"Broomfield Hospital, CM1 7ET"
RWA16,RWA,Castle Hill Hospital,23.85393185,Castle Hill Hospital,HU16 5JQ,England,"Castle Hill Hospital, HU16 5JQ"
R1K02,R1K,Central Middlesex Hospital,19.43258383,Central Middlesex Hospital,NW10 7NS,England,"Central Middlesex Hospital, NW10 7NS"
RYJ02,RYJ,Charing Cross Hospital,18.72961317,Charing Cross Hospital,W6 8RF,England,"Charing Cross Hospital, W6 8RF"
RQM01,RQM,Chelsea and Westminster Hospital,19.88733045,Chelsea And Westminster Hospital,SW10 9NH,England,"Chelsea And Westminster Hospital, SW10 9NH"
RFSDA,RFS,Chesterfield Royal Hospital,21.62862057,Chesterfield Royal Hospital,S44 5BL,England,"Chesterfield Royal Hospital, S44 5BL"
RXK02,RXK,City Hospital,25.61669633,City Hospital,B18 7QH,England,"City Hospital, B18 7QH"
RDEE4,RDE,Colchester General Hospital,19.34137628,Colchester General Hospital,CO4 5JL,England,"Colchester General Hospital, CO4 5JL"
RXC01,RXC,Conquest Hospital,18.45188995,Conquest Hospital,TN37 7RD,England,"Conquest Hospital, TN37 7RD"
RJ611,RJ6,Croydon University Hospital,20.5053602,Croydon University Hospital,CR7 7YE,England,"Croydon University Hospital, CR7 7YE"
RXPDA,RXP,Darlington Memorial Hospital,23.94938359,Darlington Memorial Hospital,DL3 6HX,England,"Darlington Memorial Hospital, DL3 6HX"
RK950,RK9,Derriford Hospital,19.73601668,Derriford Hospital,PL6 8DH,England,"Derriford Hospital, PL6 8DH"
RJL30,RJL,Diana Princess of Wales Hospital,24.18139337,Diana,DN33 2BA,England,"Diana, DN33 2BA"
RP5DR,RP5,Doncaster Royal Infirmary,25.2215654,Doncaster Royal Infirmary,DN2 5LT,England,"Doncaster Royal Infirmary, DN2 5LT"
RBD01,RBD,Dorset County Hospital,17.17079967,Dorset County Hospital,DT1 2JY,England,"Dorset County Hospital, DT1 2JY"
RTP04,RTP,East Surrey Hospital,16.89117069,East Surrey Hospital,RH1 5RH,England,"East Surrey Hospital, RH1 5RH"
RXC02,RXC,Eastbourne District General Hospital,18.45188995,Eastbourne District General Hospital,BN21 2UD,England,"Eastbourne District General Hospital, BN21 2UD"
