redcap_data_access_group,redcap_data_access_group_unlabelled,dag_id,place_name,postcode,country,lon,lat,ccg,tds_mean,postcode_start,city,imd_average_postcodes_new
Lanarkshire NHSFT,lanarkshire_nhsft,L302H,University Hospital Hairmyres,G75 8RG,Scotland,-4.221977,55.7594711,S08000032,-0.5648442316815383,G75,South Lanarkshire,3234.817940702851
Lanarkshire NHSFT,lanarkshire_nhsft,L308H,University Hospital Wishaw,ML2 0DP,Scotland,-3.9420159,55.7736351,S08000032,0.6456173645753805,ML2,North Lanarkshire,2537.5623200329082
Aberdeen Royal Infirmary,aberdeen_royal_inf,N101H,Aberdeen Royal Infirmary,AB25 2ZN,Scotland,-2.1372687,57.1546973,S08000020,-0.34231016921157476,AB25,Aberdeen,4395.31208499336
NHS Lothian,nhs_lothian,S116H,Western General Hospital,EH4 2XU,Scotland,-3.2338808,55.9621052,S08000024,0.2606861477440891,EH4,Edinburgh,4524.216276124129
NHS Lothian,nhs_lothian,S308H,St John's Hospital,EH54 6PP,Scotland,-3.5235687,55.8914559,S08000024,-0.3838932582336999,EH54,West Lothian,3405.3798114689707
NHS Lothian,nhs_lothian,S314H,Royal Infirmary Of Edinburgh At Little France,EH16 4SA,Scotland,-3.1347719,55.9218084,S08000024,0.2606861477440891,EH16,Edinburgh,4524.216276124129
Ninewells Hospital,ninewells_hospital,T101H,Ninewells Hospital,DD1 9SY,Scotland,-2.9913622,56.461653,S08000030,1.9244357404030463,DD1,Dundee,2726.8699639698657
Manchester University Hospital,manchester_univers,R0A02,Manchester Royal Infirmary,M13 9WL,England,-2.2248907089233398,53.461673736572266,E38000217,3.3886492428788495,M13,Manchester,6931.867791364734
Manchester University Hospital,manchester_univers,R0A03,Royal Manchester Children's Hospital,M13 9WL,England,-2.2244758605957031,53.460468292236328,E38000217,3.3886492428788495,M13,Manchester,6931.867791364734
Manchester University Hospital,manchester_univers,R0A07,Wythenshawe Hospital,M23 9LT,England,-2.2918150424957275,53.388851165771484,E38000217,3.3886492428788495,M23,Manchester,6931.867791364734
Manchester University Hospital,manchester_univers,R0A09,Trafford General Hospital,M41 5SL,England,-2.370682954788208,53.454067230224609,E38000187,-0.5717569068748974,M41,Trafford,20443.38769931663
"St Mary's Hospital, Isle of Wight",st_marys_hospital,R1F01,St Mary's Hospital,PO30 5TG,England,-1.3013159036636353,50.710845947265625,E38000087,-0.47112305051735115,PO30,Isle of Wight,12877.953040432983
St Bartholomews,st_bartholomews,R1H12,The Royal London Hospital,E1 1FR,England,-6.0150060802698135E-2,51.518699645996094,E38000186,5.972540402028157,E1,Tower Hamlets,10773.227622999408
Northwick Park,northwick_park,R1K01,Northwick Park Hospital,HA1 3UJ,England,-0.32202273607254028,51.575408935546875,E38000020,4.874830928579013,HA1,Harrow,10708.141955232448
Northwick Park,northwick_park,R1K02,Central Middlesex Hospital,NW10 7NS,England,-0.26914629340171814,51.530937194824219,E38000020,4.874830928579013,NW10,Brent,10708.141955232448
Royal Surrey NHSFT,royal_surrey_nhsft,RA201,Royal Surrey County Hospital,GU2 7XX,England,-0.6074482798576355,51.241016387939453,E38000214,-1.5219007092988148,GU2,Guildford,25714.57654944628
Yeovil District Hospital,yeovil_district_ho,RA430,Yeovil District Hospital,BA21 4AT,England,-2.6346983909606934,50.944847106933594,E38000150,-1.4620242768664284,BA21,South Somerset,16541.887105947353
Bristol Royal Infirmary,bristol_royal_infi,RA701,Bristol Royal Infirmary,BS2 8HW,England,-2.5961246490478516,51.459186553955078,E38000222,-0.29553926527199337,BS2,Bristol,17490.317487720662
University Hospitals Bristol NHFT,university_hospitah,RA707,St Michael's Hospital,BS2 8EG,England,-2.599376916885376,51.459136962890625,E38000222,-0.29553926527199337,BS2,Bristol,17490.317487720662
